Track_ID,Document Title,Authors,Publication Title,Publication Year,DOI,CATEGORY,Title,Year,Venue,Abstract
O_ISAC_259,,K. Li; J. Wang; H. Cui; B. Zhou; P. Fan,,,10.1109/JIOT.2025.3599171,,Low-PAPR OFDM-ISAC Waveform Design Based on Frequency-Domain Phase Differences,2025.0,,
O_ISAC_272,,X. Xia; R. Yao; X. Nan; Z. Zhang; J. Feng; Y. Fan; X. Zuo,,,10.1109/LWC.2025.3583732,,Three-Stage Super-Resolution Estimation of Target Parameter in OCDM ISAC Systems,2025.0,,
O_ISAC_276,,P.J. Urban; E.M. Miśkiewicz; D. Karczewicz; W. Kogut; J. Kopczyński,,,10.1109/JLT.2025.3563162,,Parallel Path Effect-Free Remote Monitoring and Sensing in Live XGS-PON Using Legacy Optical Time Domain Reflectometry,2025.0,,
O_ISAC_280,,Y. Zhao; J. Wan; S. Xu; W. Zou,,,10.1364/OE.533917,,Integration of endogenous sensing and communication based on photonics-enabled cellular base station networks with a spectrum fusion algorithm,2024.0,,
O_ISAC_283,,X. Yu; J. Ye; L. Yan; T. Zhou; N. Zhong; Y. Zhu; X. Zou; W. Pan,,,10.1364/OE.541229,,Photonics-assisted self-interference cancellation for in-band full-duplex integrated sensing and communication transceiver,2024.0,,
O_ISAC_286,,L. Peng; M. Yin; D. Zou; N. Yang; Y. Xiao; F. Li,,,10.1364/OE.525854,,Photonics-assisted integrated sensing and communication with ranging resolution improvement by multiple signal classification,2024.0,,
O_ISAC_288,,A.K. Alzamil; M.A. Sharawy; E.M. Almohimmah; A.M. Ragheb; A. Almaiman; S.A. Alshebeili,,,10.3390/photonics11090861,,Development of an Integrated Communication and Sensing System Using Spread Spectrum and Photonics Technologies,2024.0,,
O_ISAC_291,,X. Zhang; L. Xiao; M.W. Mutka,,,10.1145/3672202.3673726,,POSTER: Holographic Optical Tag enabled Omnidirectional IoT Connection,2024.0,,
O_ISAC_300,,Z. Lyu; L. Zhang; H. Zhang; Z. Yang; H. Yang; L. Li; C. Zhang; V. Bobrovs; O. Ozoliņš; X. Pang; X. Yu,,,10.1109/JLT.2023.3344788,,Preamble-Free Synchronization Based on Dual-chirp Waveforms for Photonic THz-ISAC,2024.0,,
O_ISAC_301,,J. Jia; B. Dong; L. Tao; J. Shi; N. Chi; J. Zhang,,,10.3788/COL202422.043901,,Demonstration of radar-aided flexible communication in a photonics-based W-band distributed integrated sensing and communication system for 6G,2024.0,,
