batch_id,paper_id,section2_anchor,extraction_json_path,markdown_path,DRMIN_TEXT_EVIDENCE,DZ_TEXT_EVIDENCE,OSNR_TEXT_EVIDENCE,ESNR_TEXT_EVIDENCE,evidence_locator_drmin,evidence_locator_dz,evidence_locator_osnr,evidence_locator_esnr,invalid_reason
B08,O_ISAC_087,,,,0,0,0,0,,,,,missing_markdown
B09,O_ISAC_095,,data/extraction_results_v4/extraction_v4_unified.json[93],data/processed_markdowns/O_ISAC_095/O_ISAC_095/O_ISAC_095.md,0,0,0,0,,,,,
B09,O_ISAC_096,,data/extraction_results_v4/extraction_v4_unified.json[94],data/processed_markdowns/O_ISAC_096/O_ISAC_096/O_ISAC_096.md,0,0,0,0,,,,,
B09,O_ISAC_097,,data/extraction_results_v4/extraction_v4_unified.json[95],data/processed_markdowns/O_ISAC_097/O_ISAC_097/O_ISAC_097.md,0,0,0,0,,,,,
B10,O_ISAC_107,,data/extraction_results_v4/extraction_v4_unified.json[105],data/processed_markdowns/O_ISAC_107/O_ISAC_107/O_ISAC_107.md,0,0,0,0,,,,,
B10,O_ISAC_108,,data/extraction_results_v4/extraction_v4_unified.json[106],data/processed_markdowns/O_ISAC_108/O_ISAC_108/O_ISAC_108.md,0,0,0,0,,,,,
B10,O_ISAC_109,,data/extraction_results_v4/extraction_v4_unified.json[107],data/processed_markdowns/O_ISAC_109/O_ISAC_109/O_ISAC_109.md,0,0,0,0,,,,,
B11,O_ISAC_118,,data/extraction_results_v4/extraction_v4_unified.json[116],data/processed_markdowns/O_ISAC_118/O_ISAC_118/O_ISAC_118.md,0,0,0,0,,,,,
B11,O_ISAC_119,,data/extraction_results_v4/extraction_v4_unified.json[117],data/processed_markdowns/O_ISAC_119/O_ISAC_119/O_ISAC_119.md,0,0,0,0,,,,,
B11,O_ISAC_120,,data/extraction_results_v4/extraction_v4_unified.json[118],data/processed_markdowns/O_ISAC_120/O_ISAC_120/O_ISAC_120.md,0,0,0,0,,,,,
B11,O_ISAC_121,,data/extraction_results_v4/extraction_v4_unified.json[119],data/processed_markdowns/O_ISAC_121/O_ISAC_121/O_ISAC_121.md,0,0,0,0,,,,,
B12,O_ISAC_130,,data/extraction_results_v4/extraction_v4_unified.json[128],data/processed_markdowns/O_ISAC_130/O_ISAC_130/O_ISAC_130.md,0,0,0,0,,,,,
B12,O_ISAC_131,,data/extraction_results_v4/extraction_v4_unified.json[129],data/processed_markdowns/O_ISAC_131/O_ISAC_131/O_ISAC_131.md,0,0,0,0,,,,,
B12,O_ISAC_132,,data/extraction_results_v4/extraction_v4_unified.json[130],data/processed_markdowns/O_ISAC_132/O_ISAC_132/O_ISAC_132.md,0,0,1,0,,,## *A. Antenna Polarization Diversity for High-Speed Polarization Multiplexing Wireless Signal Delivery at W-band* :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without || where_hint: O_ISAC_132.md :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without,,
B12,O_ISAC_133,,data/extraction_results_v4/extraction_v4_unified.json[131],data/processed_markdowns/O_ISAC_133/O_ISAC_133/O_ISAC_133.md,0,0,0,0,,,,,
B12,O_ISAC_134,,data/extraction_results_v4/extraction_v4_unified.json[132],data/processed_markdowns/O_ISAC_134/O_ISAC_134/O_ISAC_134.md,1,0,0,0,## A. RADAR DATA PROCESSING :: c/(2B) is the range resolution || where_hint: O_ISAC_134.md :: c/(2B) is the range resolution,,,,
B12,O_ISAC_135,,data/extraction_results_v4/extraction_v4_unified.json[133],data/processed_markdowns/O_ISAC_135/O_ISAC_135/O_ISAC_135.md,0,0,0,0,,,,,
B12,O_ISAC_136,,data/extraction_results_v4/extraction_v4_unified.json[134],data/processed_markdowns/O_ISAC_136/O_ISAC_136/O_ISAC_136.md,0,0,0,0,,,,,
B12,O_ISAC_137,,data/extraction_results_v4/extraction_v4_unified.json[135],data/processed_markdowns/O_ISAC_137/O_ISAC_137/O_ISAC_137.md,0,0,0,0,,,,,
B12,O_ISAC_138,,data/extraction_results_v4/extraction_v4_unified.json[136],data/processed_markdowns/O_ISAC_138/O_ISAC_138/O_ISAC_138.md,0,0,0,0,,,,,
B12,O_ISAC_139,,data/extraction_results_v4/extraction_v4_unified.json[137],data/processed_markdowns/O_ISAC_139/O_ISAC_139/O_ISAC_139.md,0,0,0,0,,,,,
B12,O_ISAC_140,,data/extraction_results_v4/extraction_v4_unified.json[138],data/processed_markdowns/O_ISAC_140/O_ISAC_140/O_ISAC_140.md,0,0,0,0,,,,,
B12,O_ISAC_141,,data/extraction_results_v4/extraction_v4_unified.json[139],data/processed_markdowns/O_ISAC_141/O_ISAC_141/O_ISAC_141.md,0,0,0,0,,,,,
B13,O_ISAC_142,,data/extraction_results_v4/extraction_v4_unified.json[140],data/processed_markdowns/O_ISAC_142/O_ISAC_142/O_ISAC_142.md,0,0,0,0,,,,,
B13,O_ISAC_143,,data/extraction_results_v4/extraction_v4_unified.json[141],data/processed_markdowns/O_ISAC_143/O_ISAC_143/O_ISAC_143.md,0,0,0,0,,,,,
B13,O_ISAC_144,,data/extraction_results_v4/extraction_v4_unified.json[142],data/processed_markdowns/O_ISAC_144/O_ISAC_144/O_ISAC_144.md,0,0,0,0,,,,,
B13,O_ISAC_145,,data/extraction_results_v4/extraction_v4_unified.json[143],data/processed_markdowns/O_ISAC_145/O_ISAC_145/O_ISAC_145.md,0,0,0,0,,,,,
B13,O_ISAC_146,,data/extraction_results_v4/extraction_v4_unified.json[144],data/processed_markdowns/O_ISAC_146/O_ISAC_146/O_ISAC_146.md,0,0,0,0,,,,,
B13,O_ISAC_147,,data/extraction_results_v4/extraction_v4_unified.json[145],data/processed_markdowns/O_ISAC_147/O_ISAC_147/O_ISAC_147.md,0,0,0,0,,,,,
B13,O_ISAC_148,,data/extraction_results_v4/extraction_v4_unified.json[146],data/processed_markdowns/O_ISAC_148/O_ISAC_148/O_ISAC_148.md,0,0,0,0,,,,,
B13,O_ISAC_149,,data/extraction_results_v4/extraction_v4_unified.json[147],data/processed_markdowns/O_ISAC_149/O_ISAC_149/O_ISAC_149.md,0,0,0,0,,,,,
B13,O_ISAC_150,,data/extraction_results_v4/extraction_v4_unified.json[148],data/processed_markdowns/O_ISAC_150/O_ISAC_150/O_ISAC_150.md,0,0,0,0,,,,,
B13,O_ISAC_151,,data/extraction_results_v4/extraction_v4_unified.json[149],data/processed_markdowns/O_ISAC_151/O_ISAC_151/O_ISAC_151.md,0,0,0,0,,,,,
B13,O_ISAC_152,,data/extraction_results_v4/extraction_v4_unified.json[150],data/processed_markdowns/O_ISAC_152/O_ISAC_152/O_ISAC_152.md,0,0,0,0,,,,,
B13,O_ISAC_153,,data/extraction_results_v4/extraction_v4_unified.json[151],data/processed_markdowns/O_ISAC_153/O_ISAC_153/O_ISAC_153.md,0,0,0,0,,,,,
B14,O_ISAC_154,,data/extraction_results_v4/extraction_v4_unified.json[152],data/processed_markdowns/O_ISAC_154/O_ISAC_154/O_ISAC_154.md,0,0,0,0,,,,,
B14,O_ISAC_155,,data/extraction_results_v4/extraction_v4_unified.json[153],data/processed_markdowns/O_ISAC_155/O_ISAC_155/O_ISAC_155.md,0,0,0,0,,,,,
B14,O_ISAC_156,,data/extraction_results_v4/extraction_v4_unified.json[154],data/processed_markdowns/O_ISAC_156/O_ISAC_156/O_ISAC_156.md,0,0,0,0,,,,,
B14,O_ISAC_157,,data/extraction_results_v4/extraction_v4_unified.json[155],data/processed_markdowns/O_ISAC_157/O_ISAC_157/O_ISAC_157.md,0,0,0,0,,,,,
B14,O_ISAC_158,,data/extraction_results_v4/extraction_v4_unified.json[156],data/processed_markdowns/O_ISAC_158/O_ISAC_158/O_ISAC_158.md,0,0,0,0,,,,,
B14,O_ISAC_159,,data/extraction_results_v4/extraction_v4_unified.json[157],data/processed_markdowns/O_ISAC_159/O_ISAC_159/O_ISAC_159.md,0,0,0,0,,,,,
B14,O_ISAC_160,,data/extraction_results_v4/extraction_v4_unified.json[158],data/processed_markdowns/O_ISAC_160/O_ISAC_160.md,0,0,0,0,,,,,
B14,O_ISAC_161,,data/extraction_results_v4/extraction_v4_unified.json[159],data/processed_markdowns/O_ISAC_161/O_ISAC_161.md,0,0,0,0,,,,,
B14,O_ISAC_162,,data/extraction_results_v4/extraction_v4_unified.json[160],data/processed_markdowns/O_ISAC_162/O_ISAC_162.md,0,0,0,0,,,,,
B14,O_ISAC_163,,data/extraction_results_v4/extraction_v4_unified.json[161],data/processed_markdowns/O_ISAC_163/O_ISAC_163.md,0,0,0,0,,,,,
B14,O_ISAC_164,,data/extraction_results_v4/extraction_v4_unified.json[162],data/processed_markdowns/O_ISAC_164/O_ISAC_164.md,0,0,0,0,,,,,
B14,O_ISAC_165,,data/extraction_results_v4/extraction_v4_unified.json[163],data/processed_markdowns/O_ISAC_165/O_ISAC_165.md,0,0,0,0,,,,,
B15,O_ISAC_166,,data/extraction_results_v4/extraction_v4_unified.json[164],data/processed_markdowns/O_ISAC_166/O_ISAC_166.md,0,0,0,0,,,,,
B15,O_ISAC_167,,data/extraction_results_v4/extraction_v4_unified.json[165],data/processed_markdowns/O_ISAC_167/O_ISAC_167.md,0,0,0,0,,,,,
B15,O_ISAC_168,,,,0,0,0,0,,,,,missing_markdown
B15,O_ISAC_169,,,,0,0,0,0,,,,,missing_markdown
B15,O_ISAC_170,,,,0,0,0,0,,,,,missing_markdown
B15,O_ISAC_171,,data/extraction_results_v4/extraction_v4_unified.json[166],data/processed_markdowns/O_ISAC_171/O_ISAC_171.md,0,0,0,0,,,,,
B15,O_ISAC_172,,data/extraction_results_v4/extraction_v4_unified.json[167],data/processed_markdowns/O_ISAC_172/O_ISAC_172.md,0,0,0,0,,,,,
B15,O_ISAC_173,,data/extraction_results_v4/extraction_v4_unified.json[168],data/processed_markdowns/O_ISAC_173/O_ISAC_173.md,0,0,0,0,,,,,
B15,O_ISAC_174,,,,0,0,0,0,,,,,missing_markdown
B15,O_ISAC_175,,,,0,0,0,0,,,,,missing_markdown
B15,O_ISAC_176,,,,0,0,0,0,,,,,missing_markdown
B15,O_ISAC_177,,,,0,0,0,0,,,,,missing_markdown
B16,O_ISAC_185,,data/extraction_results_v4/extraction_v4_unified.json[169],data/processed_markdowns/O_ISAC_185/O_ISAC_185.md,0,0,0,0,,,,,
B16,O_ISAC_186,,data/extraction_results_v4/extraction_v4_unified.json[170],data/processed_markdowns/O_ISAC_186/O_ISAC_186.md,0,0,0,0,,,,,
B16,O_ISAC_187,,data/extraction_results_v4/extraction_v4_unified.json[171],data/processed_markdowns/O_ISAC_187/O_ISAC_187.md,0,0,0,0,,,,,
B16,O_ISAC_188,,data/extraction_results_v4/extraction_v4_unified.json[172],data/processed_markdowns/O_ISAC_188/O_ISAC_188.md,0,0,0,0,,,,,
B16,O_ISAC_189,,data/extraction_results_v4/extraction_v4_unified.json[173],data/processed_markdowns/O_ISAC_189/O_ISAC_189.md,0,0,0,0,,,,,
B16,O_ISAC_190,,data/extraction_results_v4/extraction_v4_unified.json[174],data/processed_markdowns/O_ISAC_190/O_ISAC_190.md,0,0,0,0,,,,,
B16,O_ISAC_191,,,,0,0,0,0,,,,,missing_markdown
B16,O_ISAC_192,,,,0,0,0,0,,,,,missing_markdown
B16,O_ISAC_193,,,,0,0,0,0,,,,,missing_markdown
B16,O_ISAC_194,,,,0,0,0,0,,,,,missing_markdown
B16,O_ISAC_195,,data/extraction_results_v4/extraction_v4_unified.json[175],data/processed_markdowns/O_ISAC_195/O_ISAC_195.md,0,0,0,0,,,,,
B16,O_ISAC_196,,,,0,0,0,0,,,,,missing_markdown
B17,O_ISAC_199,,data/extraction_results_v4/extraction_v4_unified.json[176],data/processed_markdowns/O_ISAC_199/O_ISAC_199.md,0,0,0,0,,,,,
B17,O_ISAC_200,,data/extraction_results_v4/extraction_v4_unified.json[177],data/processed_markdowns/O_ISAC_200/O_ISAC_200.md,0,0,0,0,,,,,
B17,O_ISAC_201,,,,0,0,0,0,,,,,missing_markdown
B17,O_ISAC_202,,data/extraction_results_v4/extraction_v4_unified.json[178],data/processed_markdowns/O_ISAC_202/O_ISAC_202.md,0,0,0,0,,,,,
B17,O_ISAC_203,,data/extraction_results_v4/extraction_v4_unified.json[179],data/processed_markdowns/O_ISAC_203/O_ISAC_203.md,0,0,0,0,,,,,
B17,O_ISAC_204,,,,0,0,0,0,,,,,missing_markdown
B17,O_ISAC_205,,,,0,0,0,0,,,,,missing_markdown
B17,O_ISAC_206,,data/extraction_results_v4/extraction_v4_unified.json[180],data/processed_markdowns/O_ISAC_206/O_ISAC_206.md,0,0,0,0,,,,,
B17,O_ISAC_207,,,,0,0,0,0,,,,,missing_markdown
B17,O_ISAC_208,,,,0,0,0,0,,,,,missing_markdown
B17,O_ISAC_209,,,,0,0,0,0,,,,,missing_markdown
B17,O_ISAC_210,,,,0,0,0,0,,,,,missing_markdown
B18,O_ISAC_218,,data/extraction_results_v4/extraction_v4_unified.json[181],data/processed_markdowns/O_ISAC_218/O_ISAC_218.md,0,0,0,0,,,,,
B18,O_ISAC_219,,data/extraction_results_v4/extraction_v4_unified.json[182],data/processed_markdowns/O_ISAC_219/O_ISAC_219.md,0,0,0,0,,,,,
