dimension,group,paper_ids
OPA,flag_only,O_ISAC_021;O_ISAC_061;O_ISAC_089;O_ISAC_150;O_ISAC_340
OPA,raw_only,O_ISAC_002;O_ISAC_005;O_ISAC_006;O_ISAC_009;O_ISAC_012;O_ISAC_014;O_ISAC_016;O_ISAC_018;O_ISAC_019;O_ISAC_023;O_ISAC_024;O_ISAC_025;O_ISAC_026;O_ISAC_027;O_ISAC_028;O_ISAC_029;O_ISAC_031;O_ISAC_032;O_ISAC_033;O_ISAC_036;O_ISAC_037;O_ISAC_040;O_ISAC_043;O_ISAC_045;O_ISAC_046;O_ISAC_047;O_ISAC_048;O_ISAC_049;O_ISAC_050;O_ISAC_052
OPA,strict_only,O_ISAC_002;O_ISAC_005;O_ISAC_006;O_ISAC_012;O_ISAC_016;O_ISAC_018;O_ISAC_019;O_ISAC_023;O_ISAC_025;O_ISAC_027;O_ISAC_029;O_ISAC_031;O_ISAC_032;O_ISAC_033;O_ISAC_036;O_ISAC_037;O_ISAC_043;O_ISAC_047;O_ISAC_048;O_ISAC_052;O_ISAC_054;O_ISAC_055;O_ISAC_056;O_ISAC_063;O_ISAC_065;O_ISAC_066;O_ISAC_068;O_ISAC_073;O_ISAC_076;O_ISAC_081
RIS,flag_only,O_ISAC_150;O_ISAC_163
RIS,raw_only,O_ISAC_002;O_ISAC_004;O_ISAC_005;O_ISAC_006;O_ISAC_009;O_ISAC_012;O_ISAC_014;O_ISAC_016;O_ISAC_018;O_ISAC_019;O_ISAC_023;O_ISAC_024;O_ISAC_025;O_ISAC_026;O_ISAC_027;O_ISAC_028;O_ISAC_029;O_ISAC_031;O_ISAC_032;O_ISAC_033;O_ISAC_036;O_ISAC_037;O_ISAC_040;O_ISAC_043;O_ISAC_045;O_ISAC_046;O_ISAC_047;O_ISAC_048;O_ISAC_049;O_ISAC_050
RIS,strict_only,O_ISAC_002;O_ISAC_004;O_ISAC_005;O_ISAC_006;O_ISAC_012;O_ISAC_016;O_ISAC_018;O_ISAC_019;O_ISAC_023;O_ISAC_025;O_ISAC_027;O_ISAC_029;O_ISAC_031;O_ISAC_032;O_ISAC_033;O_ISAC_036;O_ISAC_037;O_ISAC_043;O_ISAC_047;O_ISAC_048;O_ISAC_052;O_ISAC_054;O_ISAC_055;O_ISAC_056;O_ISAC_060;O_ISAC_063;O_ISAC_065;O_ISAC_066;O_ISAC_073;O_ISAC_076
ML,flag_only,O_ISAC_005;O_ISAC_020;O_ISAC_021;O_ISAC_041;O_ISAC_059;O_ISAC_064;O_ISAC_069;O_ISAC_083;O_ISAC_089;O_ISAC_101;O_ISAC_109;O_ISAC_112;O_ISAC_136;O_ISAC_142;O_ISAC_145;O_ISAC_147;O_ISAC_161;O_ISAC_162;O_ISAC_163;O_ISAC_291;O_ISAC_303;O_ISAC_340
ML,supported_only,O_ISAC_001;O_ISAC_008;O_ISAC_015;O_ISAC_019;O_ISAC_052;O_ISAC_067;O_ISAC_086;O_ISAC_088;O_ISAC_118;O_ISAC_130;O_ISAC_131;O_ISAC_144;O_ISAC_167;O_ISAC_186
