paper_id,section2_anchor,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_001,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_001\O_ISAC_001.md,data/ext_res_v4/extraction_v4_unified.json[0]
O_ISAC_002,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_002\O_ISAC_002.md,data/ext_res_v4/extraction_v4_unified.json[1]
O_ISAC_003,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_003\O_ISAC_003.md,data/ext_res_v4/extraction_v4_unified.json[2]
O_ISAC_004,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_004\O_ISAC_004.md,data/ext_res_v4/extraction_v4_unified.json[3]
O_ISAC_005,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_005\O_ISAC_005.md,data/ext_res_v4/extraction_v4_unified.json[4]
O_ISAC_006,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_006\O_ISAC_006.md,data/ext_res_v4/extraction_v4_unified.json[5]
O_ISAC_007,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_007\O_ISAC_007.md,data/ext_res_v4/extraction_v4_unified.json[6]
O_ISAC_008,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_008\O_ISAC_008.md,data/ext_res_v4/extraction_v4_unified.json[7]
O_ISAC_009,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md,data/ext_res_v4/extraction_v4_unified.json[8]
O_ISAC_010,II-UNK,AMBIGUOUS,AMBIGUOUS,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_010\O_ISAC_010.md,data/ext_res_v4/extraction_v4_unified.json[9]
O_ISAC_011,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_011\O_ISAC_011.md,data/ext_res_v4/extraction_v4_unified.json[10]
O_ISAC_012,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_012\O_ISAC_012.md,data/ext_res_v4/extraction_v4_unified.json[11]
