paper_id,section2_anchor,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_276,II-UNK,AMBIGUOUS,AMBIGUOUS,,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_276\O_ISAC_276.md,data/ext_res_v4/extraction_v4_unified.json[192]
O_ISAC_280,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_280\O_ISAC_280.md,data/ext_res_v4/extraction_v4_unified.json[193]
O_ISAC_283,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_283\O_ISAC_283.md,data/ext_res_v4/extraction_v4_unified.json[194]
O_ISAC_286,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_286\O_ISAC_286.md,data/ext_res_v4/extraction_v4_unified.json[195]
O_ISAC_288,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_288\O_ISAC_288.md,data/ext_res_v4/extraction_v4_unified.json[196]
O_ISAC_291,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_291\O_ISAC_291.md,data/ext_res_v4/extraction_v4_unified.json[197]
O_ISAC_300,II-UNK,AMBIGUOUS,AMBIGUOUS,SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_300\O_ISAC_300.md,data/ext_res_v4/extraction_v4_unified.json[198]
O_ISAC_301,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_301\O_ISAC_301.md,data/ext_res_v4/extraction_v4_unified.json[199]
O_ISAC_303,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_303\O_ISAC_303.md,data/ext_res_v4/extraction_v4_unified.json[200]
O_ISAC_304,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_304\O_ISAC_304.md,data/ext_res_v4/extraction_v4_unified.json[201]
O_ISAC_310,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_310\O_ISAC_310.md,data/ext_res_v4/extraction_v4_unified.json[202]
O_ISAC_324,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_324\O_ISAC_324.md,data/ext_res_v4/extraction_v4_unified.json[203]
