paper_id,section2_anchor,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_037,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_037\O_ISAC_037.md,data/ext_res_v4/extraction_v4_unified.json[36]
O_ISAC_038,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_038\O_ISAC_038.md,data/ext_res_v4/extraction_v4_unified.json[37]
O_ISAC_039,II-UNK,AMBIGUOUS,AMBIGUOUS,SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_039\O_ISAC_039.md,data/ext_res_v4/extraction_v4_unified.json[38]
O_ISAC_040,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_040\O_ISAC_040.md,data/ext_res_v4/extraction_v4_unified.json[39]
O_ISAC_041,II-A,AMBIGUOUS,AMBIGUOUS,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_041\O_ISAC_041.md,data/ext_res_v4/extraction_v4_unified.json[40]
O_ISAC_042,II-D,DZ_DEFENSIBLE,AMBIGUOUS,DZ_TEXT|RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_042\O_ISAC_042.md,data/ext_res_v4/extraction_v4_unified.json[41]
O_ISAC_043,II-D,DRMIN_DEFENSIBLE,AMBIGUOUS,DRMIN_TEXT|RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_043\O_ISAC_043.md,data/ext_res_v4/extraction_v4_unified.json[42]
O_ISAC_044,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_044\O_ISAC_044.md,data/ext_res_v4/extraction_v4_unified.json[43]
O_ISAC_045,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_045\O_ISAC_045.md,data/ext_res_v4/extraction_v4_unified.json[44]
O_ISAC_046,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_046\O_ISAC_046.md,data/ext_res_v4/extraction_v4_unified.json[45]
O_ISAC_047,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_047\O_ISAC_047.md,data/ext_res_v4/extraction_v4_unified.json[46]
O_ISAC_048,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_048\O_ISAC_048.md,data/ext_res_v4/extraction_v4_unified.json[47]
