paper_id,section2_anchor,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_206,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_206\O_ISAC_206.md,data/ext_res_v4/extraction_v4_unified.json[180]
O_ISAC_218,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_218\O_ISAC_218.md,data/ext_res_v4/extraction_v4_unified.json[181]
O_ISAC_219,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_219\O_ISAC_219.md,data/ext_res_v4/extraction_v4_unified.json[182]
O_ISAC_220,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_220\O_ISAC_220.md,data/ext_res_v4/extraction_v4_unified.json[183]
O_ISAC_237,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_237\O_ISAC_237.md,data/ext_res_v4/extraction_v4_unified.json[184]
O_ISAC_241,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_241\O_ISAC_241.md,data/ext_res_v4/extraction_v4_unified.json[185]
O_ISAC_242,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_242\O_ISAC_242.md,data/ext_res_v4/extraction_v4_unified.json[186]
O_ISAC_245,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_245\O_ISAC_245.md,data/ext_res_v4/extraction_v4_unified.json[187]
O_ISAC_248,II-UNK,AMBIGUOUS,AMBIGUOUS,,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_248\O_ISAC_248.md,data/ext_res_v4/extraction_v4_unified.json[188]
O_ISAC_252,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_252\O_ISAC_252.md,data/ext_res_v4/extraction_v4_unified.json[189]
O_ISAC_259,II-D,DRMIN_DEFENSIBLE,AMBIGUOUS,DRMIN_TEXT|RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_259\O_ISAC_259.md,data/ext_res_v4/extraction_v4_unified.json[190]
O_ISAC_272,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_272\O_ISAC_272.md,data/ext_res_v4/extraction_v4_unified.json[191]
