paper_id,section2_anchor,resolution_defensibility_label,snr_plane_label,rule_applied,markdown_path,extraction_json_path
O_ISAC_122,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_122\O_ISAC_122\O_ISAC_122.md,data/ext_res_v4/extraction_v4_unified.json[120]
O_ISAC_123,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_123\O_ISAC_123\O_ISAC_123.md,data/ext_res_v4/extraction_v4_unified.json[121]
O_ISAC_124,II-UNK,AMBIGUOUS,AMBIGUOUS,SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_124\O_ISAC_124\O_ISAC_124.md,data/ext_res_v4/extraction_v4_unified.json[122]
O_ISAC_125,II-UNK,AMBIGUOUS,AMBIGUOUS,,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_125\O_ISAC_125\O_ISAC_125.md,data/ext_res_v4/extraction_v4_unified.json[123]
O_ISAC_126,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_126\O_ISAC_126\O_ISAC_126.md,data/ext_res_v4/extraction_v4_unified.json[124]
O_ISAC_127,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_127\O_ISAC_127\O_ISAC_127.md,data/ext_res_v4/extraction_v4_unified.json[125]
O_ISAC_128,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_128\O_ISAC_128\O_ISAC_128.md,data/ext_res_v4/extraction_v4_unified.json[126]
O_ISAC_129,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_129\O_ISAC_129\O_ISAC_129.md,data/ext_res_v4/extraction_v4_unified.json[127]
O_ISAC_130,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_130\O_ISAC_130\O_ISAC_130.md,data/ext_res_v4/extraction_v4_unified.json[128]
O_ISAC_131,II-UNK,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_131\O_ISAC_131\O_ISAC_131.md,data/ext_res_v4/extraction_v4_unified.json[129]
O_ISAC_132,II-D,AMBIGUOUS,OSNR_PLANE,RES_COOC|OSNR_TEXT|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_132\O_ISAC_132\O_ISAC_132.md,data/ext_res_v4/extraction_v4_unified.json[130]
O_ISAC_133,II-D,AMBIGUOUS,AMBIGUOUS,RES_COOC|SNR_COOC,C:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_133\O_ISAC_133\O_ISAC_133.md,data/ext_res_v4/extraction_v4_unified.json[131]
