paper_id,medium,mechanism,detection,sensing_task,anchor_count,confidence,evidence_refs
O_ISAC_015,wireless_vlc,shared_frontend,direct,localization_2d,21,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_016,hybrid,shared_frontend,coherent,ranging,27,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_017,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,20,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_processing; 4D:coherent; 4D:json:rx_detection_type
O_ISAC_018,hybrid,shared_frontend,coherent,ranging,39,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:coherent; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_019,cabled_fibre,shared_frontend,direct,ranging,29,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_020,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,35,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_hardware; 4D:coherent; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_021,hybrid,shared_frontend,direct,ranging|_localization_2d,40,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4C:shared_waveform; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_022,wireless_vlc,shared_frontend,direct,localization_2d,27,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:signal dimension; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:json:rx_detection_type
O_ISAC_023,wireless_fso,shared_frontend,direct,ranging,36,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:sensing task type; 4B:fiber; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_hardware; 4C:shared_resources; 4C:shared_waveform; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_024,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,27,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_hardware; 4C:shared_waveform; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_025,cabled_fibre,shared_frontend,coherent,localization_2d,18,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_hardware; 4C:shared_resources; 4D:complex_field; 4D:json:rx_detection_type
O_ISAC_026,hybrid,shared_frontend,direct,ranging|_localization,29,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:json:rx_detection_type
O_ISAC_027,hybrid,separate_frontends,direct,ranging|_localization_2d,35,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4A:sensing task type; 4A:signal dimension; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_028,cabled_fibre,shared_frontend,direct,none,37,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:signal dimension; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:coherent; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_029,hybrid,shared_frontend,coherent,ranging,36,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_processing; 4C:shared_waveform; 4D:coherent; 4D:imdd; 4D:json:rx_detection_type
O_ISAC_030,hybrid,shared_frontend,direct,hand_gesture_recognition,32,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4A:sensing task type; 4A:signal dimension; 4B:fso; 4B:json:oisac_medium_class; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_processing; 4C:shared_resources; 4D:coherent; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_031,hybrid,shared_frontend,coherent,ranging,24,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:complex_field; 4D:json:rx_detection_type
O_ISAC_032,cabled_fibre,shared_frontend,coherent,ranging,27,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4A:signal dimension; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:json:rx_detection_type
O_ISAC_033,cabled_fibre,shared_frontend,coherent,vibration,26,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_034,wireless_fso,shared_frontend,direct,ranging|_localization_2d,34,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:sensing task type; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_035,wireless_fso,shared_frontend,coherent,ranging,43,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4C:shared_waveform; 4D:coherent; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_036,hybrid,shared_frontend,direct,ranging,26,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:coherent; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_037,cabled_fibre,shared_frontend,coherent,ranging,32,high,4A:detection type; 4A:integration mechanism; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:signal dimension; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:coherent; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_038,cabled_fibre,shared_frontend,coherent,ranging,16,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_hardware; 4D:json:rx_detection_type
O_ISAC_039,wireless_vlc,shared_frontend,direct,ranging,24,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4A:sensing task type; 4A:signal dimension; 4B:fso; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:imdd; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_040,wireless_retroreflective,shared_frontend,direct,ranging,16,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:json:rx_detection_type
O_ISAC_041,hybrid,shared_frontend,coherent,ranging,61,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:medium classification; 4A:resolution versus accuracy; 4A:signal dimension; 4B:fiber; 4B:fso; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4D:coherent; 4D:complex_field
O_ISAC_042,cabled_fibre,shared_frontend,coherent,vibration,19,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4D:intensity_only; 4D:json:rx_detection_type
O_ISAC_043,hybrid,shared_frontend,coherent,ranging,28,high,4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4A:measurement plane; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_resources; 4C:shared_waveform; 4D:json:rx_detection_type
O_ISAC_044,hybrid,shared_frontend,direct,ranging,41,high,4A:detection type; 4A:json:carrier_band; 4A:json:link_topology; 4A:json:mobility_context; 4A:json:oisac_medium_class; 4A:json:operational_environment; 4B:fiber; 4B:hybrid; 4B:json:oisac_medium_class; 4B:photonic_thz; 4B:vlc; 4C:json:duplexing_mode; 4C:json:hardware_sharing_mode; 4C:shared_waveform; 4D:coherent; 4D:complex_field; 4D:intensity_only; 4D:json:rx_detection_type
