study_cluster_id,primary_report_id,primary_screening_record_id,title,year,venue,canonical_modality,validation_maturity_max,survey_use_status,eligible_report_count,eligible_report_lineage,independent_human_status
STC-SINGLETON-SCR-01009,RPT-SCR-01009-01,SCR-01009,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,2024,2024 22nd International Conference on Optical Communications and Networks (ICOCN),photonic_THz,5,survey_ready,1,RPT-SCR-01009-01 (SCR-01009; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01010,RPT-SCR-01010-01,SCR-01010,Photonic Chirp Spread Spectrum THz-ISAC: Constraints and Design Considerations,2026,IEEE Transactions on Microwave Theory and Techniques,photonic_THz,5,survey_ready,1,RPT-SCR-01010-01 (SCR-01010; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01011,RPT-SCR-01011-01,SCR-01011,A THz with VLC Assisted ISAC System Under the Impact of Human Blockages,2026,2026 IEEE Wireless Communications and Networking Conference (WCNC),hybrid_optical,3,survey_ready_with_claim_restrictions,1,RPT-SCR-01011-01 (SCR-01011; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01012,RPT-SCR-01012-01,SCR-01012,A Sub-THz ISAC System with Simultaneous Real-Time 125.516-Gbps Communication Rate and Offline 10-mm Sensing Resolution Enabled by Photonics,2024,ECOC 2024; 50th European Conference on Optical Communication,photonic_THz,4,survey_ready,1,RPT-SCR-01012-01 (SCR-01012; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01018,RPT-SCR-01018-01,SCR-01018,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation,2025,Journal of Lightwave Technology,photonic_THz,4,survey_ready,1,RPT-SCR-01018-01 (SCR-01018; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01020,RPT-SCR-01020-01,SCR-01020,Probabilistic Shaping With Bit-Weighted Distribution Matching for Photonics-Assisted mmWave Dual-Functional OFDM ISAC Systems,2026,Journal of Lightwave Technology,photonic_THz,4,survey_ready,1,RPT-SCR-01020-01 (SCR-01020; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01021,RPT-SCR-01021-01,SCR-01021,Microalgae Density Measurement Using Quantum-Dot-Integrated Sensing and Communication System,2025,IEEE Transactions on Instrumentation and Measurement,VLC_LiFi,4,survey_ready_with_claim_restrictions,1,RPT-SCR-01021-01 (SCR-01021; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01023,RPT-SCR-01023-01,SCR-01023,Passive Sensing Technique Using Cyclic Prefix in Power-Constrained Optical Wireless Communication Systems,2025,IEEE Transactions on Vehicular Technology,FSO,3,survey_ready,1,RPT-SCR-01023-01 (SCR-01023; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01024,RPT-SCR-01024-01,SCR-01024,Single-Source Integrated Optical Wireless Positioning and Communication,2026,2026 IEEE 6th International Symposium on Joint Communications & Sensing (JC&S),VLC_LiFi,3,survey_ready_with_claim_restrictions,1,RPT-SCR-01024-01 (SCR-01024; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01025,RPT-SCR-01025-01,SCR-01025,"Revolutionizing 6G: Experimental Validation of an Optical Integrated Communication, Sensing, and Power Transfer System",2026,IEEE Journal on Selected Areas in Communications,FSO,4,survey_ready,1,RPT-SCR-01025-01 (SCR-01025; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01028,RPT-SCR-01028-01,SCR-01028,"Adaptive Lighting Control in Visible Light Systems: An Integrated Sensing, Communication, and Illumination Framework",2025,2025 11th International Conference on Computer and Communications (ICCC),VLC_LiFi,3,survey_ready,1,RPT-SCR-01028-01 (SCR-01028; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01029,RPT-SCR-01029-01,SCR-01029,Experimental Demonstration of Integrated Optical Wireless Sensing and Communication,2024,Journal of Lightwave Technology,FSO,5,survey_ready,1,RPT-SCR-01029-01 (SCR-01029; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01030,RPT-SCR-01030-01,SCR-01030,Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems,2023,IEEE Internet of Things Journal,VLC_LiFi,3,survey_ready,1,RPT-SCR-01030-01 (SCR-01030; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01032,RPT-SCR-01032-01,SCR-01032,"Flexible Hybrid Waveform Design for Optical Integrated Communication, Sensing, and Power Transfer Systems",2026,Journal of Lightwave Technology,FSO,5,survey_ready,1,RPT-SCR-01032-01 (SCR-01032; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01033,RPT-SCR-01033-01,SCR-01033,"Integrated PC-FMCW Automotive Headlamp for Communication, Sensing, and Illumination",2025,2025 Asia Communications and Photonics Conference (ACP),VLC_LiFi,2,survey_ready,1,RPT-SCR-01033-01 (SCR-01033; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01034,RPT-SCR-01034-01,SCR-01034,VehicleTalk: Lightweight V2V Network Enabled by Optical Wireless Communication and Sensing,2024,2024 IEEE 99th Vehicular Technology Conference (VTC2024-Spring),VLC_LiFi,5,survey_ready,1,RPT-SCR-01034-01 (SCR-01034; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01036,RPT-SCR-01036-01,SCR-01036,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,2025,IEEE Transactions on Mobile Computing,VLC_LiFi,5,survey_ready,1,RPT-SCR-01036-01 (SCR-01036; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01040,RPT-SCR-01040-01,SCR-01040,A Novel Comb Based Multi-Function Architecture for ISAC System,2026,Journal of Lightwave Technology,photonic_THz,4,survey_ready,1,RPT-SCR-01040-01 (SCR-01040; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01041,RPT-SCR-01041-01,SCR-01041,Photonics-based Terahertz Integrated Communication and Localization for D-band,2024,"2024 49th International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)",photonic_THz,4,survey_ready,1,RPT-SCR-01041-01 (SCR-01041; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01045,RPT-SCR-01045-01,SCR-01045,Secure Multi-Tenant Distributed Sensing for ISAC-Over-Fiber (IOSAC) Networks,2026,IEEE Access,fiber,3,survey_ready_with_claim_restrictions,1,RPT-SCR-01045-01 (SCR-01045; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01047,RPT-SCR-01047-01,SCR-01047,Indoor Health Monitoring with VLC-based Passive Posture Monitoring,2024,2024 Photonics & Electromagnetics Research Symposium (PIERS),VLC_LiFi,4,survey_ready,1,RPT-SCR-01047-01 (SCR-01047; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01049,RPT-SCR-01049-01,SCR-01049,Optical Transport Networks Supporting Integrated Communications and Sensing in 6G,2025,2025 European Conference on Optical Communications (ECOC),fiber,3,survey_ready,1,RPT-SCR-01049-01 (SCR-01049; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01050,RPT-SCR-01050-01,SCR-01050,Hybrid MRR-Assisted Long-Range SDMA for RO-ISAC Systems in Industry IoT Applications,2026,Journal of Lightwave Technology,FSO,4,survey_ready,1,RPT-SCR-01050-01 (SCR-01050; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01059,RPT-SCR-01059-01,SCR-01059,Joint Task Offloading and Resource Allocation for Integrated VLC and Sensing in Digital Twin-Aided Vehicular Edge Computing Networks,2025,IEEE Transactions on Vehicular Technology,VLC_LiFi,3,survey_ready,1,RPT-SCR-01059-01 (SCR-01059; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01060,RPT-SCR-01060-01,SCR-01060,An Information Interaction Method for Autonomous Train Operation Protection Based on Detection and Communication Integrated Microwave Photonic Radar,2026,IEEE Transactions on Instrumentation and Measurement,photonic_THz,4,survey_ready,1,RPT-SCR-01060-01 (SCR-01060; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01070,RPT-SCR-01070-01,SCR-01070,Integrated 1-Tb/s/λ Coherent Optical Transmission and Forward Vibration Sensing Using DFB Lasers with Combined Linewidth of 21.4 MHz,2025,2025 Asia Communications and Photonics Conference (ACP),fiber,4,survey_ready,1,RPT-SCR-01070-01 (SCR-01070; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01071,RPT-SCR-01071-01,SCR-01071,Long-Distance Integrated Forward Vibration Sensing and Terabit Optical Communication with 12.5-MHz DFB Laser via Phase Noise Separation,2026,2026 Optical Fiber Communications Conference and Exhibition (OFC),fiber,4,survey_ready,1,RPT-SCR-01071-01 (SCR-01071; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01072,RPT-SCR-01072-01,SCR-01072,Accurate vibration recognition enabled by synergistic sensing based on both phase and SOP for stable IM-DD optical interconnects,2026,Journal of Optical Communications and Networking,fiber,4,survey_ready,1,RPT-SCR-01072-01 (SCR-01072; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01073,RPT-SCR-01073-01,SCR-01073,"Photonics-Assisted System for Joint Radar Ranging, Wireless Communications, and Spectrum Sensing",2026,Journal of Lightwave Technology,photonic_THz,4,survey_ready,1,RPT-SCR-01073-01 (SCR-01073; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01079,RPT-SCR-01079-01,SCR-01079,Sensing as a Service: Can In-Band Distributed Fiber Optic Sensing Coexist With Coherent Metro DWDM Communication Network?,2026,Journal of Lightwave Technology,fiber,4,survey_ready,1,RPT-SCR-01079-01 (SCR-01079; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01081,RPT-SCR-01081-01,SCR-01081,Visible Light Integrated Positioning and Communication: A Multi-Task Federated Learning Framework,2023,IEEE Transactions on Mobile Computing,VLC_LiFi,2,survey_ready,1,RPT-SCR-01081-01 (SCR-01081; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01085,RPT-SCR-01085-01,SCR-01085,Turbulence-Resilient Communication through Beam Shaping Enabled by Multi-Region Turbulence Intensity Sensing,2025,2025 Asia Communications and Photonics Conference (ACP),FSO,4,survey_ready,1,RPT-SCR-01085-01 (SCR-01085; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01086,RPT-SCR-01086-01,SCR-01086,Simultaneous distributed sensing and communication enabled by space and wavelength division multiplexing in a field-deployed seven-core fiber,2026,Journal of Optical Communications and Networking,fiber,6,survey_ready,1,RPT-SCR-01086-01 (SCR-01086; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01088,RPT-SCR-01088-01,SCR-01088,Picosecond-Level Round-Trip Delay Measurement Scheme Based on Non-Commensurate Sampling for Future Deterministic Passive Optical Networks,2026,Journal of Lightwave Technology,fiber,4,survey_ready,1,RPT-SCR-01088-01 (SCR-01088; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01093,RPT-SCR-01093-01,SCR-01093,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network,2025,Journal of Lightwave Technology,photonic_THz,4,survey_ready,1,RPT-SCR-01093-01 (SCR-01093; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01095,RPT-SCR-01095-01,SCR-01095,Advanced Integration of Sensing and Communication With High DSP Compatibility for SMART Network,2025,IEEE Photonics Technology Letters,fiber,4,survey_ready,1,RPT-SCR-01095-01 (SCR-01095; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01101,RPT-SCR-01101-01,SCR-01101,Integrated Communication and Radar Detection Based-on Single Modulator at W-Band,2024,2024 7th International Conference on Information Communication and Signal Processing (ICICSP),photonic_THz,4,survey_ready,1,RPT-SCR-01101-01 (SCR-01101; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01103,RPT-SCR-01103-01,SCR-01103,Vibration Localization under Unidirectional Single-Channel Transmission Conditions in the DSCM Systems Based on Non-Reciprocity,2025,2025 Asia Communications and Photonics Conference (ACP),fiber,2,survey_ready,1,RPT-SCR-01103-01 (SCR-01103; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01105,RPT-SCR-01105-01,SCR-01105,Integrated secure communication and sensing based on simultaneous chaotic encryption and vibration detection with an RE-LFM signal,2026,Journal of Optical Communications and Networking,fiber,4,survey_ready,1,RPT-SCR-01105-01 (SCR-01105; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01151,RPT-SCR-01151-01,SCR-01151,Photonic Millimeter-Wave Joint Radar Communication System Using Spectrum-Spreading Phase-Coding,2022,IEEE Transactions on Microwave Theory and Techniques,photonic_THz,4,survey_ready,1,RPT-SCR-01151-01 (SCR-01151; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01152,RPT-SCR-01152-01,SCR-01152,On-Chip Photonic MMW Joint Communication and Radar System,2023,2023 International Topical Meeting on Microwave Photonics (MWP),photonic_THz,4,survey_ready,1,RPT-SCR-01152-01 (SCR-01152; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01153,RPT-SCR-01153-01,SCR-01153,Photonic-Assisted Joint Radar and Communication System Using Overlapped Spectrum for High-Resolution Ranging and High-Speed Data Transmission,2025,IEEE Transactions on Microwave Theory and Techniques,photonic_THz,4,survey_ready,1,RPT-SCR-01153-01 (SCR-01153; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01165,RPT-SCR-01165-01,SCR-01165,Joint radar and communication system based on a chaotic optoelectronic oscillator,2024,Optics Communications,photonic_THz,4,survey_ready,1,RPT-SCR-01165-01 (SCR-01165; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01180,RPT-SCR-01180-01,SCR-01180,Optical fiber communication and distributed multi-parameter sensing integrated network for smart power grid applications,2026,Science China Information Sciences,fiber,6,survey_ready,1,RPT-SCR-01180-01 (SCR-01180; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01188,RPT-SCR-01188-01,SCR-01188,Seamless integration of distributed acoustic sensing and passive optical networks for human intrusion monitoring,2026,Communications Engineering,fiber,6,survey_ready,1,RPT-SCR-01188-01 (SCR-01188; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-01229,RPT-SCR-01229-01,SCR-01229,Photonic generation of frequency agile LFM signals for ISAC systems,2024,Optical and Quantum Electronics,hybrid_optical,4,survey_ready,1,RPT-SCR-01229-01 (SCR-01229; primary_source; standalone_primary_report),not_documented
STC-SUBCARRIER-CHIRP-DBAND-2025,RPT-SCR-00981-01,SCR-00981,Photonics-Aided THz Integrated Sensing and Communication System Based on a Subcarrier-Chirp Inter-Embedded Waveform,2025,IEEE Open Journal of the Communications Society,photonic_THz,4,survey_ready,2,RPT-SCR-00981-01 (SCR-00981; primary_source; journal_version); RPT-SCR-01017-01 (SCR-01017; supplementary_source; conference_version),not_documented
STC-SUBMARINE-CABLE-DAS-HUIZHOU-2022-2026,RPT-SCR-00957-01,SCR-00957,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,2022,IEEE Communications Magazine,fiber,6,survey_ready,1,RPT-SCR-00957-01 (SCR-00957; primary_source; companion_report),not_documented
STC-TUNABLE-LASER-THZ-FMCW-2025-2026,RPT-SCR-00083-01,SCR-00083,Terahertz ISAC with Simultaneous Fast-Swept FMCW Radar and High-Speed Wireless Link Using a Single UTC-PD,2026,Electronics (Switzerland),photonic_THz,4,survey_ready,2,RPT-SCR-00083-01 (SCR-00083; primary_source; canonical_journal_report); RPT-SCR-00553-01 (SCR-00553; supplementary_source; conference_companion_report),not_documented
STC-WBAND-POLARIZATION-JRC-2023-2025,RPT-SCR-01075-01,SCR-01075,Integration of Sensing and Communication in a W-Band Fiber-Wireless Link Enabled by Electromagnetic Polarization Multiplexing,2023,Journal of Lightwave Technology,photonic_THz,4,survey_ready,2,RPT-SCR-01075-01 (SCR-01075; primary_source; journal_version); RPT-SCR-00886-01 (SCR-00886; supplementary_source; conference_version),not_documented
STC-WBAND-TFDM-DONG-2022-2024,RPT-SCR-00966-01,SCR-00966,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time- Frequency Division Multiplexed Waveforms for Fiber-Wireless Network,2024,Journal of Lightwave Technology,photonic_THz,4,survey_ready_with_claim_restrictions,3,RPT-SCR-00966-01 (SCR-00966; primary_source; journal_version); RPT-SCR-00731-01 (SCR-00731; supplementary_source; conference_version); RPT-SCR-00784-01 (SCR-00784; supplementary_source; companion_report),not_documented
