study_cluster_id,primary_report_id,primary_screening_record_id,title,year,venue,canonical_modality,validation_maturity_max,survey_use_status,eligible_report_count,eligible_report_lineage,independent_human_status
STC-SINGLETON-SCR-00808,RPT-SCR-00808-01,SCR-00808,Photonics-aided integrated sensing and communications in mmW bands based on a DC-offset QPSK-encoded LFMCW,2022,Optics Express,photonic_THz,5,survey_ready,1,RPT-SCR-00808-01 (SCR-00808; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00833,RPT-SCR-00833-01,SCR-00833,CORE-Lens: Simultaneous Communication and Object REcognition with Disentangled-GAN Cameras,2022,"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM",VLC_LiFi,5,survey_ready_with_claim_restrictions,1,RPT-SCR-00833-01 (SCR-00833; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00836,RPT-SCR-00836-01,SCR-00836,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,2022,"2022 International Conference on Broadband Communications for Next Generation Networks and Multimedia Applications, CoBCom 2022",VLC_LiFi,5,survey_ready,1,RPT-SCR-00836-01 (SCR-00836; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00873,RPT-SCR-00873-01,SCR-00873,"Monolithically Integrated Sensing, Communication, and Energy Harvester",2022,Energy Technology,VLC_LiFi,5,survey_ready,1,RPT-SCR-00873-01 (SCR-00873; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00882,RPT-SCR-00882-01,SCR-00882,Performance Analysis of Microwave Photonics Assisted Joint Radar Communications,2024,"2024 International Conference on Wireless Communications, Signal Processing and Networking, WiSPNET 2024",photonic_THz,2,survey_ready,1,RPT-SCR-00882-01 (SCR-00882; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00884,RPT-SCR-00884-01,SCR-00884,Photonic-assisted generation of joint radar and communication signals with immunity to power fading,2023,Optics Communications,photonic_THz,4,survey_ready,1,RPT-SCR-00884-01 (SCR-00884; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00885,RPT-SCR-00885-01,SCR-00885,Photonic-aid dual-formats LFM signals generator for joint radar-communication system,2022,Optik,photonic_THz,2,survey_ready_with_claim_restrictions,1,RPT-SCR-00885-01 (SCR-00885; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00887,RPT-SCR-00887-01,SCR-00887,"Microwave Photonic Joint Radar, Wireless Communications, and Spectrum Sensing System With Broadband Tunability From 12 to 40 GHz",2026,IEEE Internet of Things Journal,photonic_THz,4,survey_ready,1,RPT-SCR-00887-01 (SCR-00887; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00891,RPT-SCR-00891-01,SCR-00891,Millimeter-wave joint radar and communication system based on photonic frequency-multiplying constant envelope LFM-OFDM,2022,Optics Express,photonic_THz,4,survey_ready,1,RPT-SCR-00891-01 (SCR-00891; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00893,RPT-SCR-00893-01,SCR-00893,Microwave Photonic Joint Radar and Secure Communication via Radar Signal Masking,2025,IEEE Microwave and Wireless Technology Letters,photonic_THz,4,survey_ready,1,RPT-SCR-00893-01 (SCR-00893; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00896,RPT-SCR-00896-01,SCR-00896,Photonics-assisted joint radar and communication system based on an optoelectronic oscillator,2021,Optics Express,photonic_THz,4,survey_ready,1,RPT-SCR-00896-01 (SCR-00896; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00899,RPT-SCR-00899-01,SCR-00899,Photonic-assisted generation of fast switchable multi-format LFM waveforms with a tuned bandwidth for a joint radar-communication system,2025,Optics Communications,photonic_THz,4,survey_ready_with_claim_restrictions,1,RPT-SCR-00899-01 (SCR-00899; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00902,RPT-SCR-00902-01,SCR-00902,Bidirectional Retroreflective Optical ISAC Using Time Division Duplexing and Clipped OFDM,2025,IEEE Photonics Technology Letters,VLC_LiFi,4,survey_ready,1,RPT-SCR-00902-01 (SCR-00902; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00903,RPT-SCR-00903-01,SCR-00903,Phase-Coded FMCW for Optical Integrated Sensing and Communication,2024,2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),FSO,2,survey_ready,1,RPT-SCR-00903-01 (SCR-00903; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00904,RPT-SCR-00904-01,SCR-00904,Gaussian Pulse-Based PSS-PPM Scheme for Optical Integrated Sensing and Communication Systems,2025,2025 Asia Communications and Photonics Conference (ACP),FSO,3,survey_ready,1,RPT-SCR-00904-01 (SCR-00904; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00905,RPT-SCR-00905-01,SCR-00905,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,2024,2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC),VLC_LiFi,2,survey_ready,1,RPT-SCR-00905-01 (SCR-00905; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00906,RPT-SCR-00906-01,SCR-00906,Quantum Optical Integrated Sensing and Communication With Homodyne BPSK Detection,2026,IEEE Wireless Communications Letters,other_optical,2,survey_ready,1,RPT-SCR-00906-01 (SCR-00906; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00908,RPT-SCR-00908-01,SCR-00908,Optical ISAC: Fundamental Performance Limits and Transceiver Design,2024,2024 IEEE Globecom Workshops (GC Wkshps),FSO,2,survey_ready,1,RPT-SCR-00908-01 (SCR-00908; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00909,RPT-SCR-00909-01,SCR-00909,Free Space Optical Integrated Sensing and Communication Based on LFM and CPM,2024,IEEE Communications Letters,FSO,3,survey_ready,1,RPT-SCR-00909-01 (SCR-00909; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00910,RPT-SCR-00910-01,SCR-00910,Optical Integrated Sensing and Communication for Cooperative Mobile Robotics: Design and Experiments,2023,"2023 21st International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks (WiOpt)",VLC_LiFi,6,survey_ready,1,RPT-SCR-00910-01 (SCR-00910; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00912,RPT-SCR-00912-01,SCR-00912,Flexible Waveform Design for RO-ISAC Based on OFDM-Embedded Maximum Length Sequence,2025,IEEE Wireless Communications Letters,VLC_LiFi,4,survey_ready,1,RPT-SCR-00912-01 (SCR-00912; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00913,RPT-SCR-00913-01,SCR-00913,Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication,2023,IEEE Communications Letters,FSO,3,survey_ready,1,RPT-SCR-00913-01 (SCR-00913; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00914,RPT-SCR-00914-01,SCR-00914,Optical Integrated Sensing and Communication System Based on Combination of OIRS and PD Array for Mobile Scenarios,2024,IEEE Transactions on Wireless Communications,FSO,3,survey_ready,1,RPT-SCR-00914-01 (SCR-00914; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00915,RPT-SCR-00915-01,SCR-00915,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,2025,2025 30th OptoElectronics and Communications Conference (OECC) and 2025 International Conference on Photonics in Switching and Computing (PSC),VLC_LiFi,2,survey_ready,1,RPT-SCR-00915-01 (SCR-00915; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00916,RPT-SCR-00916-01,SCR-00916,Optical Integrated Sensing and Communication Lidar Based on RBPSK-FMCW Joint Waveform and Optical Phased Array,2026,Journal of Lightwave Technology,FSO,4,survey_ready,1,RPT-SCR-00916-01 (SCR-00916; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00917,RPT-SCR-00917-01,SCR-00917,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,2025,2025 IEEE Wireless Communications and Networking Conference (WCNC),FSO,3,survey_ready,1,RPT-SCR-00917-01 (SCR-00917; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00918,RPT-SCR-00918-01,SCR-00918,"Multiuser Retroreflective Optical ISAC: Waveform Design, Joint Sensing and Multiple Access",2026,Journal of Lightwave Technology,VLC_LiFi,4,survey_ready,1,RPT-SCR-00918-01 (SCR-00918; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00919,RPT-SCR-00919-01,SCR-00919,Full-Duplex RO-ISAC System: Wavelength Division Duplexing and Hybrid Waveform Design,2025,IEEE Photonics Technology Letters,VLC_LiFi,4,survey_ready_with_claim_restrictions,1,RPT-SCR-00919-01 (SCR-00919; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00920,RPT-SCR-00920-01,SCR-00920,Experimental Demonstration of Multi-User Full-Duplex RO-ISAC System,2025,2025 Asia Communications and Photonics Conference (ACP),VLC_LiFi,4,survey_ready_with_claim_restrictions,1,RPT-SCR-00920-01 (SCR-00920; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00922,RPT-SCR-00922-01,SCR-00922,Leveraging ISAC for Adaptive Cell Zooming in Mixed FSO-RF Networks,2025,"2025 IEEE 36th International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC)",FSO,3,survey_ready,1,RPT-SCR-00922-01 (SCR-00922; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00925,RPT-SCR-00925-01,SCR-00925,Performance Analysis of NOMA-Assisted Optical OFDM ISAC Systems with Clipping Distortion,2026,2026 IEEE Wireless Communications and Networking Conference (WCNC),VLC_LiFi,2,survey_ready,1,RPT-SCR-00925-01 (SCR-00925; primary_source; standalone_primary_report),not_documented
STC-SINGLETON-SCR-00926,RPT-SCR-00926-01,SCR-00926,LACO-OFDM-Based Optical ISAC System Design and Performance Analysis,2026,IEEE Internet of Things Journal,FSO,3,survey_ready,1,RPT-SCR-00926-01 (SCR-00926; primary_source; standalone_primary_report),not_documented
