paper_id,n_scenarios,n_rate,n_drmin,n_drmin_eligible,n_dz,n_dz_eligible,n_sigma_r,n_crb,n_osnr,n_snr,n_plane_mixed,n_imdd_osnr_conflict,n_snr_ambiguous,n_dz_drmin_alias,n_governance_blocked,n_crq_candidate,n_crq_eligible
O_ISAC_072,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_073,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_074,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
O_ISAC_075,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_076,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
O_ISAC_077,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
O_ISAC_078,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
O_ISAC_079,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
O_ISAC_080,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
O_ISAC_081,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_082,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
O_ISAC_083,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_084,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_085,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0
O_ISAC_086,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
O_ISAC_088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_089,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
O_ISAC_090,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0
O_ISAC_091,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_092,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_093,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
O_ISAC_094,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_095,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
O_ISAC_096,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0
O_ISAC_097,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0
O_ISAC_098,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_099,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_100,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_101,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_102,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0
O_ISAC_103,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
O_ISAC_104,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0
O_ISAC_105,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
O_ISAC_106,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_107,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_108,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,2,0
O_ISAC_109,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_110,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_111,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_112,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_113,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0
O_ISAC_114,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_115,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0
O_ISAC_116,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
O_ISAC_117,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_118,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_119,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
O_ISAC_120,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_121,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_ISAC_123,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_124,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0
O_ISAC_125,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
O_ISAC_126,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_127,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0
O_ISAC_128,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
O_ISAC_129,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0
O_ISAC_130,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0
