track_id,phase2_source,doi,publication_year,category,present_in_final_corpus,present_in_retrieved_docs,present_in_legacy_included_studies_list,present_in_excluded_fulltext_log,provisional_reconstruction_status,notes
O_ISAC_034,phase2_extraction_dataset,10.1109/LCOMM.2023.3270184,2023,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_035,phase2_extraction_dataset,10.1109/JLT.2025.3592208,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_036,phase2_extraction_dataset,10.1109/ECOC66593.2025.11263375,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_037,phase2_extraction_dataset,10.1109/ICOCN63276.2024.10648374,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_038,phase2_extraction_dataset,,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_039,phase2_extraction_dataset,10.1109/TMC.2022.3207164,2023,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_040,phase2_extraction_dataset,10.23919/OECC/PSC62146.2025.11110803,2025,WIRELESS,yes,yes,yes,no,included_final_corpus,
O_ISAC_041,phase2_extraction_dataset,10.1109/JIOT.2024.3414863,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_042,phase2_extraction_dataset,,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_043,phase2_extraction_dataset,10.1364/OFC.2023.W4J.5,2023,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_044,phase2_extraction_dataset,10.1109/JLT.2024.3354070,2024,FIBER,yes,yes,no,no,included_final_corpus,repo_verified_included;named_pdf_alias_added_from_extensionless_retrieved_doc
O_ISAC_045,phase2_extraction_dataset,10.1109/CLEO-PR60912.2024.10676568,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_046,phase2_extraction_dataset,10.1109/ACP/IPOC63121.2024.10810040,2024,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_047,phase2_extraction_dataset,10.1109/JLT.2025.3602312,2025,FIBER,yes,yes,yes,no,included_final_corpus,
O_ISAC_048,phase2_extraction_dataset,10.1109/ICC51166.2024.10622583,2024,WIRELESS,yes,yes,yes,no,included_final_corpus,
