paper_id,has_R,has_B,has_DRMIN,has_DZ,has_CRB,has_OSNR,has_ESNR,resolution_defensibility,evidence_count_total,evidence_count_resolution,risk_flags
O_ISAC_128,0,1,0,1,0,0,0,DZ_DEFENSIBLE,20,17,
O_ISAC_129,1,0,0,0,0,0,0,AMBIGUOUS,3,0,
O_ISAC_130,0,1,0,0,0,0,0,REJECT,3,0,
O_ISAC_132,1,1,0,0,0,1,0,AMBIGUOUS,62,0,OSNR_only;unit_missing
O_ISAC_133,0,0,0,0,1,0,0,AMBIGUOUS,11,0,unit_missing
O_ISAC_134,0,1,1,0,0,0,0,DRMIN_DEFENSIBLE,12,11,
O_ISAC_135,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_136,0,1,0,0,0,0,0,AMBIGUOUS,3,0,
O_ISAC_137,1,0,0,0,0,0,0,REJECT,1,0,
O_ISAC_138,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_139,0,0,0,0,0,0,0,REJECT,1,0,
O_ISAC_140,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_141,1,1,0,0,0,0,0,REJECT,2,0,
O_ISAC_142,1,0,0,0,0,0,0,AMBIGUOUS,1,0,
O_ISAC_143,1,0,0,0,0,0,0,REJECT,2,0,
O_ISAC_146,0,1,0,0,0,0,0,REJECT,1,0,
O_ISAC_148,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_150,1,1,0,0,0,0,0,AMBIGUOUS,6,0,
O_ISAC_151,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_152,1,1,0,0,0,0,0,AMBIGUOUS,8,0,
O_ISAC_153,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_154,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_155,1,0,0,0,0,0,0,AMBIGUOUS,1,0,
O_ISAC_156,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_157,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_158,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_159,1,1,0,0,0,0,0,AMBIGUOUS,8,0,
O_ISAC_160,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_161,1,0,0,0,0,0,0,AMBIGUOUS,1,0,
O_ISAC_162,0,1,0,0,0,0,0,AMBIGUOUS,2,0,
O_ISAC_163,1,1,0,0,0,0,0,AMBIGUOUS,10,0,
O_ISAC_164,0,1,0,0,0,0,0,AMBIGUOUS,1,0,
O_ISAC_165,0,1,0,0,0,0,0,REJECT,2,0,
O_ISAC_166,0,1,0,0,0,0,0,AMBIGUOUS,1,0,
O_ISAC_167,0,1,0,1,0,0,0,DZ_DEFENSIBLE,70,67,
O_ISAC_171,1,1,0,1,0,0,0,DZ_DEFENSIBLE,12,1,
O_ISAC_172,1,1,0,1,0,0,0,DZ_DEFENSIBLE,54,46,
O_ISAC_173,1,0,0,0,0,0,0,AMBIGUOUS,2,0,
O_ISAC_185,1,1,0,0,0,0,0,AMBIGUOUS,9,0,
O_ISAC_186,1,1,0,0,0,0,0,AMBIGUOUS,14,0,
O_ISAC_187,1,1,0,0,0,0,0,AMBIGUOUS,17,0,
O_ISAC_188,1,1,0,1,0,0,0,DZ_DEFENSIBLE,72,63,
O_ISAC_189,0,1,0,0,0,0,0,AMBIGUOUS,7,0,
O_ISAC_190,1,1,0,1,0,0,0,DZ_DEFENSIBLE,61,52,
O_ISAC_195,1,1,0,0,0,0,0,AMBIGUOUS,9,0,
O_ISAC_199,1,0,0,0,0,0,0,REJECT,9,0,
O_ISAC_200,1,1,0,0,0,0,0,AMBIGUOUS,3,0,
O_ISAC_202,1,0,0,0,0,0,0,AMBIGUOUS,2,0,
O_ISAC_203,1,1,0,0,0,0,0,REJECT,2,0,
O_ISAC_206,1,0,0,0,1,0,0,AMBIGUOUS,15,0,unit_missing
O_ISAC_218,0,1,0,0,0,0,0,AMBIGUOUS,8,0,
O_ISAC_219,1,0,0,0,0,0,0,REJECT,8,0,
O_ISAC_220,0,1,0,0,0,0,0,AMBIGUOUS,3,0,
O_ISAC_237,0,1,0,0,0,0,0,AMBIGUOUS,4,0,
O_ISAC_241,1,1,0,0,0,0,0,AMBIGUOUS,8,0,
O_ISAC_242,1,1,0,0,0,0,0,AMBIGUOUS,4,0,
O_ISAC_245,0,0,0,0,1,0,0,AMBIGUOUS,1,0,
O_ISAC_259,0,1,1,0,0,0,0,DRMIN_DEFENSIBLE,12,11,
O_ISAC_272,0,1,0,0,0,0,0,AMBIGUOUS,1,0,
O_ISAC_276,0,0,0,0,0,0,0,AMBIGUOUS,0,0,
O_ISAC_280,1,1,0,0,0,0,0,AMBIGUOUS,6,0,
O_ISAC_283,0,1,0,0,0,0,1,AMBIGUOUS,18,0,ESNR_only
O_ISAC_286,1,1,0,0,0,0,0,AMBIGUOUS,7,0,
O_ISAC_288,1,1,0,0,0,0,0,AMBIGUOUS,4,0,
O_ISAC_291,1,0,0,0,0,0,0,REJECT,2,0,
O_ISAC_300,1,1,0,0,0,1,0,AMBIGUOUS,14,0,OSNR_only;unit_missing
O_ISAC_301,1,1,0,0,0,0,0,AMBIGUOUS,9,0,
O_ISAC_303,1,1,0,0,1,0,0,REJECT,19,0,
O_ISAC_304,0,1,0,0,0,0,0,AMBIGUOUS,8,0,
O_ISAC_310,1,1,0,0,0,0,0,AMBIGUOUS,17,0,
O_ISAC_324,1,1,0,1,0,0,0,DZ_DEFENSIBLE,40,35,
O_ISAC_327,1,1,0,0,0,0,0,REJECT,4,0,
O_ISAC_340,1,0,0,0,0,0,0,AMBIGUOUS,14,0,
O_ISAC_347,1,1,0,0,0,0,0,REJECT,5,0,
